,Unnamed: 0,zipcode,child capacity,ageless5,pop,Latitude,Longitude,radius_meters,Desert,Few_Child,Not_Desert,Classification
113,113,80735,30.0,46,513,39.709824,-102.24035,13800,0,0,3,3
114,114,80736,133.0,25,613,40.798956,-103.04649,8500,0,2,0,2
115,115,80550,609.0,1894,26555,40.47997,-104.90227,5900,1,0,0,1
116,116,80601,998.0,2359,38793,39.973251,-104.82407,4200,0,0,3,3
117,117,80602,394.0,2520,33077,39.958987,-104.908921,4400,1,0,0,1
118,118,80603,128.0,1094,13055,39.943831,-104.629665,7300,1,0,0,1
119,119,80610,109.0,280,3384,40.61798,-104.66762,10500,0,0,3,3
120,120,80611,15.0,50,809,40.581437,-104.26915,15700,1,0,0,1
121,121,80615,193.0,560,8090,40.529241,-104.71181,8300,0,0,3,3
122,122,80620,222.0,1569,18912,40.378019,-104.70357,2000,1,0,0,1
123,123,80621,210.0,849,12397,40.090367,-104.79723,9100,1,0,0,1
124,124,80737,46.0,139,1656,40.916929,-102.21858,12500,1,0,0,1
125,125,80741,21.0,42,770,40.508131,-103.41815,12100,0,0,3,3
126,126,80742,15.0,7,203,40.603869,-103.87807,17000,0,2,0,2
127,127,80743,28.0,31,990,40.215063,-102.95628,17300,0,0,3,3
128,128,80744,51.0,14,411,40.888124,-102.3726,9100,0,2,0,2
129,129,80747,16.0,12,375,40.964518,-103.11162,10600,0,2,0,2
130,130,80623,16.0,91,955,40.28319000000001,-104.77878,600,1,0,0,1
131,131,80631,1231.0,4165,55930,40.42184500000001,-104.69175,8200,1,0,0,1
132,132,80634,1602.0,3479,55318,40.407853,-104.75498,4900,0,0,3,3
133,133,80640,100.0,1161,13194,39.885202,-104.88339,3000,1,0,0,1
134,134,80642,6.0,217,3600,40.060539,-104.62943,7900,1,0,0,1
135,135,80643,63.0,191,3436,40.078242,-104.49916,11600,1,0,0,1
136,136,80644,102.0,204,3552,40.363777,-104.51964,10200,0,0,3,3
137,137,80019,75.0,398,2810,39.784036,-104.72289,3900,1,0,0,1
138,138,80020,2417.0,3057,49962,39.93404,-105.05454,3600,0,0,3,3
139,139,80021,1362.0,1757,33033,39.881608,-105.09953,3400,0,0,3,3
140,140,80022,1484.0,4766,48652,39.836586,-104.9039,5400,1,0,0,1
141,141,80751,390.0,1420,17577,40.633845,-103.21574,17500,1,0,0,1
142,142,80757,15.0,25,234,39.836887,-103.61156,15600,0,2,0,2
143,143,80759,87.0,314,4627,40.169249,-102.69005,20400,1,0,0,1
144,144,80801,15.0,2,126,39.727493,-103.10362,10000,0,2,0,2
145,145,80805,15.0,16,452,39.302035,-102.44357,10400,0,2,0,2
146,146,80807,108.0,360,5248,39.3124,-102.25094,21700,1,0,0,1
147,147,80513,141.0,654,12001,40.294423,-105.08431000000002,6700,1,0,0,1
148,148,80514,16.0,359,5010,40.083475,-104.93581,2000,1,0,0,1
149,149,80645,53.0,325,4808,40.332131,-104.68704,9400,1,0,0,1
150,150,80651,44.0,172,4118,40.228533,-104.84267,7800,1,0,0,1
151,151,80653,30.0,37,841,40.36593,-104.00612,9100,0,0,3,3
152,152,80026,1417.0,1669,29160,40.002156,-105.10036,3800,0,0,3,3
153,153,80027,1637.0,1743,33286,39.963322,-105.15053,3500,0,0,3,3
154,154,80030,591.0,917,16364,39.830936,-105.03736,1300,0,0,3,3
155,155,80031,750.0,2386,35994,39.866785,-105.04143,2300,1,0,0,1
156,156,80033,930.0,1286,24977,39.774341,-105.10036,2300,0,0,3,3
157,157,80045,272.0,37,778,39.746736,-104.838361,600,0,0,3,3
158,158,80102,63.0,240,5602,39.760573,-104.431,13900,1,0,0,1
159,159,80103,50.0,106,2734,39.746563,-104.17162,13600,0,0,3,3
160,160,80104,1078.0,2042,30458,39.385141,-104.85962,7000,0,0,3,3
161,161,80105,15.0,59,1130,39.631741,-104.01594,18000,1,0,0,1
162,162,80106,1965.0,308,4999,39.148692,-104.5635,10600,0,0,3,3
163,163,80107,50.0,568,13007,39.397242,-104.58696,10000,1,0,0,1
164,164,80108,740.0,1490,25700,39.453833,-104.885409,4800,0,0,3,3
165,165,80109,730.0,1745,21427,39.380857,-104.89947,4100,0,0,3,3
166,166,80110,939.0,1461,22139,39.646847,-104.99076,2000,0,0,3,3
167,167,80111,1785.0,1605,32220,39.610431,-104.88139,2600,0,0,3,3
168,168,80112,2439.0,1854,33165,39.579454,-104.88288,3400,0,0,3,3
169,169,80116,76.0,141,4017,39.355957,-104.7241,7400,0,0,3,3
170,170,80117,31.0,123,2785,39.382543,-104.42847,12500,1,0,0,1
171,171,80118,461.0,276,6296,39.20665200000001,-104.90983,9400,0,0,3,3
172,172,80120,1339.0,1486,31255,39.599687,-105.00658,2300,0,0,3,3
173,173,80121,518.0,948,19185,39.607386,-104.95805,2200,0,0,3,3
174,174,80122,571.0,1661,32419,39.582604,-104.95834,2100,0,0,3,3
175,175,80123,1641.0,2377,46379,39.616114,-105.07393,2900,0,0,3,3
176,176,80124,1355.0,1061,20366,39.543478,-104.89643999999998,2400,0,0,3,3
177,177,80125,207.0,565,10531,39.479365,-105.06708,5300,0,0,3,3
178,178,80126,1616.0,2644,44221,39.544549,-104.96808,2600,0,0,3,3
179,179,80127,1801.0,2130,44552,39.599755,-105.13052,5800,0,0,3,3
180,180,80808,102.0,411,5835,38.977375,-104.32017,15100,1,0,0,1
181,181,80809,15.0,30,1274,38.911701,-104.98731,5700,0,2,0,2
182,182,80810,48.0,121,1166,38.846982,-102.37913,18600,0,0,3,3
183,183,80813,136.0,145,1684,38.75604000000001,-105.1497,8400,0,0,3,3
184,184,80814,660.0,75,3339,38.927344,-105.18746000000002,8000,0,0,3,3
185,185,80815,20.0,37,768,39.348989,-103.07103,18400,0,0,3,3
186,186,80816,594.0,223,5605,38.876897,-105.30711,10900,0,0,3,3
187,187,80817,385.0,3114,30038,38.674013,-104.69627,6400,1,0,0,1
188,188,80516,1011.0,2120,25117,40.051051,-105.02767,5100,0,0,3,3
189,189,80517,1658.0,376,9605,40.370415,-105.51722,13800,0,0,3,3
190,190,80128,1253.0,2180,35501,39.576838,-105.07882,2900,0,0,3,3
191,191,80129,1408.0,1439,29681,39.539556,-105.009739,2200,0,0,3,3
192,192,80130,412.0,1960,28800,39.54157100000001,-104.92152,2000,1,0,0,1
193,193,80132,612.0,959,21736,39.098692,-104.8684,4400,0,0,3,3
194,194,80133,8.0,211,2445,39.113371,-104.90493,4400,1,0,0,1
195,195,80134,2654.0,4683,64118,39.508608,-104.78031,6000,0,0,3,3
196,196,80135,1263.0,157,3909,39.340969,-105.05404,14600,0,0,3,3
197,197,80136,221.0,278,5314,39.776934,-104.30997,11400,0,0,3,3
198,198,80138,1318.0,1536,31985,39.52317100000001,-104.70607,6400,0,0,3,3
199,199,80202,210.0,147,12923,39.751586,-104.99699,800,0,0,3,3
200,200,80203,15.0,236,20366,39.731286,-104.98306,800,1,0,0,1
201,201,80204,1554.0,2877,33302,39.734686,-105.01966000000002,1800,0,0,3,3
202,202,80205,1879.0,1841,32886,39.758986,-104.96678,1700,0,0,3,3
203,203,80206,667.0,999,24237,39.731237,-104.95243,1200,0,0,3,3
204,204,80207,853.0,2279,26185,39.759386,-104.91945,1700,0,0,3,3
205,205,80209,1076.0,1205,25560,39.706535,-104.96698,1500,0,0,3,3
206,206,80210,1371.0,2048,36394,39.679437,-104.96473,1900,0,0,3,3
207,207,80211,2120.0,2073,33789,39.767536,-105.01973,1700,0,0,3,3
208,208,80212,478.0,1121,19672,39.770336,-105.04688,1600,0,0,3,3
209,209,80214,911.0,1464,26030,39.745526,-105.06251,1700,0,0,3,3
210,210,80215,285.0,1072,19343,39.744437,-105.10441000000002,1900,1,0,0,1
211,211,80216,276.0,832,12461,39.784622,-104.96214,2600,1,0,0,1
212,212,80218,343.0,635,19214,39.731237,-104.97133,1000,0,0,3,3
213,213,80219,2037.0,5533,67646,39.698137,-105.03483,2200,0,0,3,3
214,214,80220,1664.0,2555,36008,39.734387,-104.91678,1800,0,0,3,3
215,215,80221,667.0,2091,40548,39.816536,-105.01123,2400,1,0,0,1
216,216,80222,1902.0,1530,22688,39.669237,-104.92766,1600,0,0,3,3
217,217,80223,506.0,1351,20651,39.699156,-104.99999,1800,0,0,3,3
218,218,80224,467.0,1139,18794,39.688437,-104.91348,1400,0,0,3,3
219,219,80226,899.0,1536,32286,39.71222,-105.08918,2200,0,0,3,3
220,220,80227,659.0,1817,35323,39.668576,-105.09191,2200,0,0,3,3
221,221,80228,979.0,1930,33430,39.688278,-105.14558,2600,0,0,3,3
222,222,80229,1316.0,4857,54183,39.859585,-104.95943,2900,1,0,0,1
223,223,80230,920.0,418,8965,39.721763,-104.89627,1200,0,0,3,3
224,224,80231,381.0,2697,36766,39.681687,-104.88338,1700,1,0,0,1
225,225,80232,449.0,1109,22476,39.690387,-105.08866,1600,0,0,3,3
226,226,80233,832.0,3597,49492,39.903043,-104.9544,2400,1,0,0,1
227,227,80234,843.0,1838,27412,39.9091,-105.00829,2100,0,0,3,3
228,228,80235,206.0,431,8595,39.648328,-105.08431000000002,1500,0,0,3,3
229,229,80236,260.0,1583,19333,39.652454,-105.04089,1400,1,0,0,1
230,230,80237,557.0,834,20280,39.643637,-104.90406000000002,1500,0,0,3,3
231,231,80238,1305.0,2307,17311,39.73875200000001,-104.408349,1700,0,0,3,3
232,232,80239,1345.0,3428,46852,39.788236,-104.83034,2500,0,0,3,3
233,233,80241,1558.0,2283,33669,39.929566,-104.94931,2100,0,0,3,3
234,234,80246,174.0,570,13438,39.705318,-104.93113,1000,1,0,0,1
235,235,80247,246.0,2088,28329,39.693573,-104.876649,1300,1,0,0,1
236,236,80249,734.0,2468,29418,39.793686,-104.73913,5500,1,0,0,1
237,237,80260,311.0,3094,34861,39.868635,-105.00805,1700,1,0,0,1
238,238,80301,929.0,854,25404,40.044385,-105.21928,4500,0,0,3,3
239,239,80302,402.0,616,29016,40.020885,-105.29673,7300,0,0,3,3
240,240,80303,609.0,654,24734,39.989135,-105.22883,3800,0,0,3,3
241,241,80304,1137.0,1539,26418,40.039784,-105.27938,2400,0,0,3,3
242,242,80305,634.0,764,17462,39.979691,-105.252586,2100,0,0,3,3
243,243,80401,951.0,1852,41026,39.735745,-105.19337,5800,0,0,3,3
244,244,80403,905.0,937,19121,39.827903000000006,-105.32256,9300,0,0,3,3
245,245,80420,15.0,47,903,39.29392100000001,-106.06889,5000,1,0,0,1
246,246,80421,988.0,365,8770,39.460306,-105.476,9400,0,0,3,3
247,247,80422,110.0,206,4632,39.813744,-105.50875,9100,0,0,3,3
248,248,80424,385.0,225,10204,39.478893,-106.03747,9000,0,0,3,3
249,249,80425,209.0,2,218,39.361089,-105.22472,5400,0,2,0,2
250,250,80428,30.0,32,730,40.854473,-106.92438,14100,0,0,3,3
251,251,80432,170.0,48,238,39.24344,-105.79431,8400,0,0,3,3
252,252,80433,180.0,379,8480,39.514738,-105.31198,7200,0,0,3,3
253,253,80435,391.0,573,7162,39.607479,-105.97937,8300,0,0,3,3
254,254,80438,82.0,13,401,39.762835,-105.71302,6000,0,2,0,2
255,255,80439,948.0,810,24284,39.642572,-105.36812,10700,0,0,3,3
256,256,80440,72.0,94,2356,39.22106,-106.0065,13100,0,0,3,3
257,257,80442,787.0,119,2261,39.949217,-105.83438,6700,0,0,3,3
258,258,80443,384.0,124,4201,39.532506,-106.14029,8300,0,0,3,3
259,259,80444,81.0,30,1271,39.694915,-105.7258,4500,0,2,0,2
260,260,80446,370.0,234,4335,40.142434,-105.95502,14000,0,0,3,3
261,261,80448,150.0,0,155,39.45910900000001,-105.72873,12000,0,2,0,2
262,262,80452,220.0,170,3090,39.737369,-105.56054,9100,0,0,3,3
263,263,80454,255.0,86,1332,39.631254,-105.26071,1600,0,0,3,3
264,264,80455,200.0,33,473,40.094785,-105.39844,4700,0,0,3,3
265,265,81212,690.0,1220,30053,38.464212,-105.27973,20000,0,0,3,3
266,266,81223,30.0,0,1376,38.357344,-105.53192,16000,0,2,0,2
267,267,81224,150.0,330,3420,38.865307,-106.96556,10000,0,0,3,3
268,268,81225,20.0,11,1353,38.901649,-106.96755,7200,0,2,0,2
269,269,81226,104.0,207,9041,38.387091,-105.1226,7300,0,0,3,3
270,270,81230,261.0,387,9497,38.464132,-106.95776,34100,0,0,3,3
271,271,81623,554.0,1095,15745,39.335504,-107.1882,16900,0,0,3,3
272,272,81624,140.0,90,1407,39.220166,-107.93414,19000,0,0,3,3
273,273,81625,253.0,750,12398,40.566113,-107.60818,31600,0,0,3,3
274,274,81630,30.0,78,882,39.378823,-108.34069,28700,0,0,3,3
275,275,81631,280.0,571,8368,39.622314,-106.7751,12600,0,0,3,3
276,276,81632,397.0,536,9159,39.620748,-106.6148,8900,0,0,3,3
277,277,81635,162.0,518,6942,39.493283,-108.11571,13700,1,0,0,1
278,278,81637,316.0,606,8527,39.690233,-107.02552,22200,0,0,3,3
279,279,81639,117.0,116,2326,40.48806,-107.26093,19700,0,0,3,3
280,280,81641,49.0,189,3852,40.042797,-107.92158,33200,1,0,0,1
281,281,81645,40.0,23,1234,39.459323,-106.37859,10500,0,2,0,2
282,282,81232,165.0,0,7,38.285533,-105.642451,1100,0,2,0,2
283,283,81235,30.0,29,737,37.961233,-107.29953,18700,0,2,0,2
284,284,81236,225.0,66,1026,38.72023400000001,-106.18801,11100,0,0,3,3
285,285,81240,96.0,236,3677,38.439499,-105.02111,9800,0,0,3,3
286,286,81242,120.0,51,669,38.471892,-106.097284,1100,0,0,3,3
287,287,81243,150.0,0,148,38.249778000000006,-107.15542,14700,0,2,0,2
288,288,81252,185.0,138,4136,38.130741,-105.45798,20000,0,0,3,3
289,289,81301,1325.0,1459,30392,37.295888,-107.84945,22000,0,0,3,3
290,290,81303,1187.0,416,8452,37.222311,-107.653131,11800,0,0,3,3
291,291,81321,627.0,865,14960,37.344985,-108.60355,16500,0,0,3,3
292,292,81323,200.0,212,4423,37.515311,-108.45204,21600,0,0,3,3
293,293,81326,266.0,86,2206,37.131282,-108.15728,12700,0,0,3,3
294,294,81328,339.0,239,4366,37.363564,-108.29691,15400,0,0,3,3
295,295,81401,805.0,1294,21976,38.43640900000001,-107.8625,12300,0,0,3,3
296,296,81410,12.0,65,1537,38.79053,-107.97404,3800,1,0,0,1
297,297,81413,536.0,124,4630,38.941926,-107.92669,11700,0,0,3,3
298,298,81415,46.0,64,1276,38.636112,-107.59315,13400,0,0,3,3
299,299,81416,279.0,902,14285,38.733901,-108.08219,14800,1,0,0,1
300,300,81418,6.0,84,1851,38.842439,-107.96085,3600,1,0,0,1
301,301,81419,22.0,157,4006,38.819199,-107.73704,11400,1,0,0,1
302,302,81422,30.0,38,647,38.296229,-108.68079,13100,0,0,3,3
303,303,81647,242.0,568,7279,39.567059,-107.54974,15400,0,0,3,3
304,304,81648,57.0,194,2625,40.011447,-108.77528,28200,1,0,0,1
305,305,81650,317.0,772,13147,39.603225,-107.89755,24500,0,0,3,3
306,306,81652,68.0,425,4947,39.508481,-107.66873,7600,1,0,0,1
307,307,81654,80.0,131,1520,39.254607,-106.97888,7500,0,0,3,3
308,308,81656,30.0,0,209,39.30179,-106.81878,800,0,2,0,2
309,309,81657,148.0,111,5793,39.634566,-106.37077,8400,0,0,3,3
310,310,81149,15.0,26,774,38.120209,-106.22626,23200,0,2,0,2
311,311,81151,88.0,145,1547,37.23354000000001,-105.7477,12000,0,0,3,3
312,312,81152,24.0,28,1220,37.134458,-105.54778,16900,0,2,0,2
313,313,81154,120.0,39,1093,37.671046,-106.63177,13100,0,0,3,3
314,314,81423,82.0,138,1729,38.082231,-108.2586,17900,0,0,3,3
315,315,81425,53.0,410,5622,38.605432,-108.0098,15700,1,0,0,1
316,316,81427,15.0,41,934,38.016388,-107.67438,8100,0,0,3,3
317,317,81428,27.0,151,3328,38.877695,-107.58799,11900,1,0,0,1
318,318,81429,15.0,0,46,38.371101,-108.969823,12100,0,2,0,2
319,319,81432,53.0,83,3090,38.131449,-107.77322,13300,0,0,3,3
320,320,81433,30.0,26,522,37.868294,-107.62223,14100,0,2,0,2
321,321,81434,320.0,0,194,38.994185,-107.35526000000002,19700,0,2,0,2
322,322,81435,279.0,199,5123,37.932874,-107.88873999999998,9300,0,0,3,3
323,323,81501,926.0,1613,24836,39.072831,-108.55,2200,0,0,3,3
324,324,81503,216.0,1188,15388,39.059221,-108.58311,4700,1,0,0,1
325,325,81504,588.0,2021,28300,39.085481,-108.49018999999998,2700,1,0,0,1
326,326,81505,51.0,415,9261,39.112514,-108.60506,8000,1,0,0,1
327,327,81506,469.0,615,11517,39.106039,-108.54679,2800,0,0,3,3
328,328,81520,183.0,867,13551,39.085981,-108.44444,3600,1,0,0,1
329,329,81521,311.0,681,15923,39.159971,-108.72071,9800,0,0,3,3
330,330,81524,15.0,157,1843,39.238633,-108.78893,10400,1,0,0,1
331,331,81526,67.0,230,5487,39.1013,-108.367,5800,1,0,0,1
332,332,81601,515.0,994,15590,39.533318,-107.32107,14900,0,0,3,3
333,333,81611,400.0,419,10299,39.196857,-106.8191,16600,0,0,3,3
334,334,81615,130.0,0,2827,39.214104,-106.94528,4000,0,2,0,2
335,335,81620,376.0,946,11447,39.63298,-106.51534,4900,0,0,3,3
336,336,81621,175.0,298,5973,39.379423,-106.97082,12000,0,0,3,3
337,337,81201,219.0,343,8941,38.533464,-106.03468,17000,0,0,3,3
338,338,81210,120.0,0,231,38.778749,-106.62831,18300,0,2,0,2
339,339,81211,925.0,217,8178,38.867111,-106.14664,17300,0,0,3,3
340,340,81057,35.0,29,468,38.136132,-102.88325,5800,0,2,0,2
341,341,80002,1245.0,1096,18211,39.795006,-105.0981,2000,0,0,3,3
342,342,80003,549.0,2587,36657,39.825357,-105.06439,2100,1,0,0,1
343,343,80004,1254.0,2106,37241,39.81431,-105.12263,2200,0,0,3,3
344,344,80005,462.0,1616,29037,39.843304,-105.11896000000002,2700,1,0,0,1
345,345,80007,389.0,799,10174,39.833442,-105.18591,4100,0,0,3,3
346,346,80010,1208.0,3798,43539,39.739387,-104.8621,1800,1,0,0,1
347,347,80011,1090.0,4225,49746,39.739737,-104.80905,4000,1,0,0,1
348,348,80012,1198.0,3744,51572,39.698387,-104.83956,2200,1,0,0,1
349,349,80013,1487.0,4740,72650,39.659105,-104.7791,3000,1,0,0,1
350,350,80014,1418.0,1733,38810,39.665637,-104.83421,2100,0,0,3,3
351,351,80015,2569.0,4071,66695,39.623896,-104.77723,3000,0,0,3,3
352,352,80016,1750.0,3271,52270,39.595115,-104.7485,5500,0,0,3,3
353,353,80017,391.0,3129,36475,39.695269,-104.78439,1900,1,0,0,1
354,354,80018,439.0,1088,12215,39.689244,-104.7166,4100,0,0,3,3
355,355,80459,40.0,148,2501,40.14711,-106.42853999999998,19400,1,0,0,1
356,356,80461,157.0,363,7319,39.231776,-106.31399,13700,0,0,3,3
357,357,80465,234.0,695,16204,39.620748,-105.18121,5400,0,0,3,3
358,358,80466,97.0,132,3456,39.964486,-105.50805,7600,0,0,3,3
